61.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.33%;710kB / 27.2MB
61.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.85%;712kB / 28MB
62.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.85%;712kB / 28MB
62.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.19%;712kB / 28.4MB
63.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.19%;712kB / 28.4MB
63.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.18%;714kB / 29.4MB
64.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.18%;714kB / 29.4MB
64.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.90%;716kB / 30.2MB
65.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.90%;716kB / 30.2MB
65.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.73%;717kB / 30.9MB
66.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.73%;717kB / 30.9MB
66.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.07%;717kB / 31.1MB
67.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.07%;717kB / 31.1MB
67.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.98%;717kB / 31.3MB
68.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.98%;717kB / 31.3MB
68.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.19%;718kB / 31.8MB
69.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.19%;718kB / 31.8MB
69.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.67%;719kB / 31.9MB
70.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.67%;719kB / 31.9MB
70.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.84%;719kB / 32.2MB
71.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.84%;719kB / 32.2MB
71.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.14%;720kB / 32.6MB
72.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.14%;720kB / 32.6MB
72.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.52%;720kB / 32.7MB
73.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.52%;720kB / 32.7MB
73.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.75%;721kB / 32.9MB
74.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.75%;721kB / 32.9MB
74.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.40%;721kB / 33MB
75.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.40%;721kB / 33MB
75.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.94%;721kB / 33.2MB
76.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.94%;721kB / 33.2MB
76.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.65%;722kB / 33.3MB
77.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.65%;722kB / 33.3MB
77.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.24%;723kB / 33.8MB
78.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.24%;723kB / 33.8MB
78.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.67%;724kB / 34.1MB
79.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.67%;724kB / 34.1MB
79.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.63%;725kB / 34.4MB
80.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.63%;725kB / 34.4MB
80.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.17%;727kB / 35.3MB
81.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.17%;727kB / 35.3MB
81.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.15%;728kB / 35.8MB
82.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.15%;728kB / 35.8MB
82.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.10%;730kB / 36.2MB
83.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.10%;730kB / 36.2MB
83.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.57%;731kB / 36.6MB
84.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.57%;731kB / 36.6MB
84.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.17%;733kB / 36.8MB
85.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.17%;733kB / 36.8MB
85.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.11%;734kB / 37.2MB
86.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.11%;734kB / 37.2MB
86.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.84%;737kB / 37.6MB
87.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.84%;737kB / 37.6MB
87.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.54%;740kB / 38MB
88.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.54%;740kB / 38MB
88.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.07%;742kB / 38.3MB
89.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.07%;742kB / 38.3MB
89.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.23%;743kB / 38.6MB
90.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.23%;743kB / 38.6MB
90.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.13%;745kB / 38.7MB
91.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.13%;745kB / 38.7MB
91.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.72%;746kB / 38.8MB
92.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.72%;746kB / 38.8MB
92.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.72%;748kB / 38.8MB
93.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.72%;748kB / 38.8MB
93.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.77%;750kB / 38.9MB
94.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.77%;750kB / 38.9MB
94.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.62%;753kB / 38.9MB
95.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.62%;753kB / 38.9MB
95.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.47%;755kB / 39MB
96.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.47%;755kB / 39MB
96.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.52%;756kB / 39MB
97.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.52%;756kB / 39MB
97.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.57%;757kB / 39MB
98.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.57%;757kB / 39MB
98.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.71%;760kB / 39MB
99.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.71%;760kB / 39MB
99.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.28%;772kB / 39.2MB
100.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.28%;772kB / 39.2MB
100.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.17%;774kB / 39.2MB
101.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.17%;774kB / 39.2MB
