42.5;a5d0573bcbae;quicker;81.21MiB / 1.953GiB;4.06%;5.71%;264kB / 3.65MB
43.0;a5d0573bcbae;quicker;81.21MiB / 1.953GiB;4.06%;5.71%;264kB / 3.65MB
43.5;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.19%;264kB / 3.65MB
44.0;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.19%;264kB / 3.65MB
44.5;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.09%;264kB / 3.65MB
45.0;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.09%;264kB / 3.65MB
45.5;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.37%;264kB / 3.65MB
46.0;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.37%;264kB / 3.65MB
46.5;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.84%;265kB / 3.65MB
47.0;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.84%;265kB / 3.65MB
47.5;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.11%;265kB / 3.65MB
48.0;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.11%;265kB / 3.65MB
48.5;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.19%;265kB / 3.65MB
49.0;a5d0573bcbae;quicker;81.09MiB / 1.953GiB;4.05%;0.19%;265kB / 3.65MB
49.5;a5d0573bcbae;quicker;81.61MiB / 1.953GiB;4.08%;47.25%;267kB / 4.49MB
50.0;a5d0573bcbae;quicker;81.61MiB / 1.953GiB;4.08%;47.25%;267kB / 4.49MB
50.5;a5d0573bcbae;quicker;81.53MiB / 1.953GiB;4.08%;10.55%;268kB / 4.71MB
51.0;a5d0573bcbae;quicker;81.53MiB / 1.953GiB;4.08%;10.55%;268kB / 4.71MB
51.5;a5d0573bcbae;quicker;81.53MiB / 1.953GiB;4.08%;0.22%;268kB / 4.71MB
52.0;a5d0573bcbae;quicker;81.53MiB / 1.953GiB;4.08%;0.22%;268kB / 4.71MB
52.5;a5d0573bcbae;quicker;81.53MiB / 1.953GiB;4.08%;0.10%;268kB / 4.71MB
53.0;a5d0573bcbae;quicker;81.53MiB / 1.953GiB;4.08%;0.10%;268kB / 4.71MB
53.5;a5d0573bcbae;quicker;81.53MiB / 1.953GiB;4.08%;0.03%;268kB / 4.71MB
