51.0;3d98b4d87808;quicker;76.5MiB / 1.953GiB;3.82%;0.37%;209kB / 3.92MB
51.5;3d98b4d87808;quicker;76.5MiB / 1.953GiB;3.82%;0.37%;209kB / 3.92MB
52.0;3d98b4d87808;quicker;76.5MiB / 1.953GiB;3.82%;3.45%;209kB / 3.96MB
52.5;3d98b4d87808;quicker;76.5MiB / 1.953GiB;3.82%;3.45%;209kB / 3.96MB
53.0;3d98b4d87808;quicker;76.39MiB / 1.953GiB;3.82%;0.07%;209kB / 3.96MB
53.5;3d98b4d87808;quicker;76.39MiB / 1.953GiB;3.82%;0.07%;209kB / 3.96MB
54.0;3d98b4d87808;quicker;76.52MiB / 1.953GiB;3.83%;4.34%;209kB / 4.01MB
54.5;3d98b4d87808;quicker;76.52MiB / 1.953GiB;3.83%;4.34%;209kB / 4.01MB
55.0;3d98b4d87808;quicker;76.41MiB / 1.953GiB;3.82%;0.36%;209kB / 4.01MB
55.5;3d98b4d87808;quicker;76.41MiB / 1.953GiB;3.82%;0.36%;209kB / 4.01MB
56.0;3d98b4d87808;quicker;76.43MiB / 1.953GiB;3.82%;0.73%;209kB / 4.01MB
56.5;3d98b4d87808;quicker;76.43MiB / 1.953GiB;3.82%;0.73%;209kB / 4.01MB
57.0;3d98b4d87808;quicker;76.43MiB / 1.953GiB;3.82%;0.22%;209kB / 4.01MB
57.5;3d98b4d87808;quicker;76.43MiB / 1.953GiB;3.82%;0.22%;209kB / 4.01MB
58.0;3d98b4d87808;quicker;76.43MiB / 1.953GiB;3.82%;2.02%;209kB / 4.03MB
58.5;3d98b4d87808;quicker;76.43MiB / 1.953GiB;3.82%;2.02%;209kB / 4.03MB
59.0;3d98b4d87808;quicker;76.43MiB / 1.953GiB;3.82%;0.46%;209kB / 4.03MB
59.5;3d98b4d87808;quicker;76.43MiB / 1.953GiB;3.82%;0.46%;209kB / 4.03MB
60.0;3d98b4d87808;quicker;76.56MiB / 1.953GiB;3.83%;2.62%;210kB / 4.03MB
60.5;3d98b4d87808;quicker;76.56MiB / 1.953GiB;3.83%;2.62%;210kB / 4.03MB
61.0;3d98b4d87808;quicker;76.45MiB / 1.953GiB;3.82%;1.12%;211kB / 4.03MB
61.5;3d98b4d87808;quicker;76.45MiB / 1.953GiB;3.82%;1.12%;211kB / 4.03MB
