46.0;7624229b1fba;quicker;98.73MiB / 1.953GiB;4.94%;1.85%;521kB / 4.12MB
46.5;7624229b1fba;quicker;98.86MiB / 1.953GiB;4.94%;4.66%;522kB / 4.16MB
47.0;7624229b1fba;quicker;98.86MiB / 1.953GiB;4.94%;4.66%;522kB / 4.16MB
47.5;7624229b1fba;quicker;98.77MiB / 1.953GiB;4.94%;1.22%;522kB / 4.16MB
48.0;7624229b1fba;quicker;98.77MiB / 1.953GiB;4.94%;1.22%;522kB / 4.16MB
48.5;7624229b1fba;quicker;98.77MiB / 1.953GiB;4.94%;1.92%;523kB / 4.18MB
49.0;7624229b1fba;quicker;98.77MiB / 1.953GiB;4.94%;1.92%;523kB / 4.18MB
49.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;3.31%;523kB / 4.22MB
50.0;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;3.31%;523kB / 4.22MB
50.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;1.62%;523kB / 4.24MB
51.0;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;1.62%;523kB / 4.24MB
51.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;1.37%;524kB / 4.24MB
52.0;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;1.37%;524kB / 4.24MB
52.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.83%;524kB / 4.24MB
53.0;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.83%;524kB / 4.24MB
53.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.29%;524kB / 4.24MB
54.0;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.29%;524kB / 4.24MB
54.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.22%;524kB / 4.24MB
55.0;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.22%;524kB / 4.24MB
55.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.02%;524kB / 4.24MB
56.0;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.02%;524kB / 4.24MB
56.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.04%;524kB / 4.24MB
57.0;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.04%;524kB / 4.24MB
57.5;7624229b1fba;quicker;98.87MiB / 1.953GiB;4.94%;0.03%;524kB / 4.24MB
