51.5;6414e13a5614;quicker;85.63MiB / 1.953GiB;4.28%;10.98%;406kB / 4.44MB
52.0;6414e13a5614;quicker;85.63MiB / 1.953GiB;4.28%;10.98%;406kB / 4.44MB
52.5;6414e13a5614;quicker;85.76MiB / 1.953GiB;4.29%;4.23%;406kB / 4.49MB
53.0;6414e13a5614;quicker;85.76MiB / 1.953GiB;4.29%;4.23%;406kB / 4.49MB
53.5;6414e13a5614;quicker;85.66MiB / 1.953GiB;4.28%;0.39%;406kB / 4.49MB
54.0;6414e13a5614;quicker;85.66MiB / 1.953GiB;4.28%;0.39%;406kB / 4.49MB
54.5;6414e13a5614;quicker;85.78MiB / 1.953GiB;4.29%;3.25%;407kB / 4.52MB
55.0;6414e13a5614;quicker;85.78MiB / 1.953GiB;4.29%;3.25%;407kB / 4.52MB
55.5;6414e13a5614;quicker;85.8MiB / 1.953GiB;4.29%;5.32%;407kB / 4.59MB
56.0;6414e13a5614;quicker;85.8MiB / 1.953GiB;4.29%;5.32%;407kB / 4.59MB
56.5;6414e13a5614;quicker;85.7MiB / 1.953GiB;4.28%;3.81%;407kB / 4.63MB
57.0;6414e13a5614;quicker;85.7MiB / 1.953GiB;4.28%;3.81%;407kB / 4.63MB
57.5;6414e13a5614;quicker;85.7MiB / 1.953GiB;4.28%;0.51%;407kB / 4.63MB
58.0;6414e13a5614;quicker;85.7MiB / 1.953GiB;4.28%;0.51%;407kB / 4.63MB
58.5;6414e13a5614;quicker;85.83MiB / 1.953GiB;4.29%;2.30%;408kB / 4.66MB
59.0;6414e13a5614;quicker;85.83MiB / 1.953GiB;4.29%;2.30%;408kB / 4.66MB
59.5;6414e13a5614;quicker;85.72MiB / 1.953GiB;4.29%;4.59%;408kB / 4.71MB
60.0;6414e13a5614;quicker;85.72MiB / 1.953GiB;4.29%;4.59%;408kB / 4.71MB
60.5;6414e13a5614;quicker;85.72MiB / 1.953GiB;4.29%;0.20%;408kB / 4.71MB
61.0;6414e13a5614;quicker;85.72MiB / 1.953GiB;4.29%;0.20%;408kB / 4.71MB
61.5;6414e13a5614;quicker;85.72MiB / 1.953GiB;4.29%;0.20%;408kB / 4.71MB
62.0;6414e13a5614;quicker;85.72MiB / 1.953GiB;4.29%;0.20%;408kB / 4.71MB
62.5;6414e13a5614;quicker;85.72MiB / 1.953GiB;4.29%;0.20%;408kB / 4.71MB
63.0;6414e13a5614;quicker;85.72MiB / 1.953GiB;4.29%;1.40%;408kB / 4.72MB
