42.0;a98684bbe911;quicker;136.6MiB / 1.953GiB;6.83%;5.81%;1.16MB / 4.84MB
42.5;a98684bbe911;quicker;136.5MiB / 1.953GiB;6.82%;6.45%;1.16MB / 4.89MB
43.0;a98684bbe911;quicker;136.5MiB / 1.953GiB;6.82%;6.45%;1.16MB / 4.89MB
43.5;a98684bbe911;quicker;136.6MiB / 1.953GiB;6.83%;13.72%;1.17MB / 5.07MB
44.0;a98684bbe911;quicker;136.6MiB / 1.953GiB;6.83%;13.72%;1.17MB / 5.07MB
44.5;a98684bbe911;quicker;136.8MiB / 1.953GiB;6.84%;10.72%;1.17MB / 5.24MB
45.0;a98684bbe911;quicker;136.8MiB / 1.953GiB;6.84%;10.72%;1.17MB / 5.24MB
45.5;a98684bbe911;quicker;136.7MiB / 1.953GiB;6.83%;4.45%;1.17MB / 5.27MB
46.0;a98684bbe911;quicker;136.7MiB / 1.953GiB;6.83%;4.45%;1.17MB / 5.27MB
46.5;a98684bbe911;quicker;136.7MiB / 1.953GiB;6.83%;1.52%;1.17MB / 5.27MB
47.0;a98684bbe911;quicker;136.7MiB / 1.953GiB;6.83%;1.52%;1.17MB / 5.27MB
47.5;a98684bbe911;quicker;136.8MiB / 1.953GiB;6.84%;3.55%;1.17MB / 5.31MB
48.0;a98684bbe911;quicker;136.8MiB / 1.953GiB;6.84%;3.55%;1.17MB / 5.31MB
48.5;a98684bbe911;quicker;136.9MiB / 1.953GiB;6.84%;8.41%;1.17MB / 5.41MB
49.0;a98684bbe911;quicker;136.9MiB / 1.953GiB;6.84%;8.41%;1.17MB / 5.41MB
49.5;a98684bbe911;quicker;137MiB / 1.953GiB;6.85%;7.34%;1.18MB / 5.52MB
50.0;a98684bbe911;quicker;137MiB / 1.953GiB;6.85%;7.34%;1.18MB / 5.52MB
50.5;a98684bbe911;quicker;137.1MiB / 1.953GiB;6.85%;13.28%;1.18MB / 5.73MB
51.0;a98684bbe911;quicker;137.1MiB / 1.953GiB;6.85%;13.28%;1.18MB / 5.73MB
51.5;a98684bbe911;quicker;137.3MiB / 1.953GiB;6.86%;9.24%;1.18MB / 5.89MB
52.0;a98684bbe911;quicker;137.3MiB / 1.953GiB;6.86%;9.24%;1.18MB / 5.89MB
52.5;a98684bbe911;quicker;137.2MiB / 1.953GiB;6.86%;1.85%;1.18MB / 5.89MB
