40.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.22%;165kB / 4.68MB
40.5;dd82990b3f0a;quicker;76.83MiB / 1.953GiB;3.84%;0.53%;165kB / 4.68MB
41.0;dd82990b3f0a;quicker;76.83MiB / 1.953GiB;3.84%;0.53%;165kB / 4.68MB
41.5;dd82990b3f0a;quicker;76.83MiB / 1.953GiB;3.84%;0.56%;166kB / 4.68MB
42.0;dd82990b3f0a;quicker;76.83MiB / 1.953GiB;3.84%;0.56%;166kB / 4.68MB
42.5;dd82990b3f0a;quicker;76.83MiB / 1.953GiB;3.84%;0.17%;166kB / 4.68MB
43.0;dd82990b3f0a;quicker;76.83MiB / 1.953GiB;3.84%;0.17%;166kB / 4.68MB
43.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;1.03%;167kB / 4.68MB
44.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;1.03%;167kB / 4.68MB
44.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.67%;167kB / 4.68MB
45.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.67%;167kB / 4.68MB
45.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
46.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
46.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
47.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
47.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.03%;167kB / 4.68MB
48.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.03%;167kB / 4.68MB
48.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.00%;167kB / 4.68MB
49.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.00%;167kB / 4.68MB
49.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.00%;167kB / 4.68MB
50.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.00%;167kB / 4.68MB
50.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.01%;167kB / 4.68MB
51.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.01%;167kB / 4.68MB
51.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
52.0;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.02%;167kB / 4.68MB
52.5;dd82990b3f0a;quicker;76.71MiB / 1.953GiB;3.84%;0.00%;167kB / 4.68MB
