40.0;b1821c4c1024;quicker;70.27MiB / 1.953GiB;3.51%;3.82%;152kB / 3.1MB
40.5;b1821c4c1024;quicker;70.28MiB / 1.953GiB;3.51%;3.37%;153kB / 3.13MB
41.0;b1821c4c1024;quicker;70.28MiB / 1.953GiB;3.51%;3.37%;153kB / 3.13MB
41.5;b1821c4c1024;quicker;70.28MiB / 1.953GiB;3.51%;0.15%;153kB / 3.13MB
42.0;b1821c4c1024;quicker;70.28MiB / 1.953GiB;3.51%;0.15%;153kB / 3.13MB
42.5;b1821c4c1024;quicker;70.28MiB / 1.953GiB;3.51%;0.00%;153kB / 3.13MB
43.0;b1821c4c1024;quicker;70.28MiB / 1.953GiB;3.51%;0.00%;153kB / 3.13MB
43.5;b1821c4c1024;quicker;70.4MiB / 1.953GiB;3.52%;2.19%;153kB / 3.16MB
44.0;b1821c4c1024;quicker;70.4MiB / 1.953GiB;3.52%;2.19%;153kB / 3.16MB
44.5;b1821c4c1024;quicker;70.31MiB / 1.953GiB;3.52%;0.10%;153kB / 3.16MB
45.0;b1821c4c1024;quicker;70.31MiB / 1.953GiB;3.52%;0.10%;153kB / 3.16MB
45.5;b1821c4c1024;quicker;70.31MiB / 1.953GiB;3.52%;0.19%;153kB / 3.16MB
46.0;b1821c4c1024;quicker;70.31MiB / 1.953GiB;3.52%;0.19%;153kB / 3.16MB
46.5;b1821c4c1024;quicker;70.31MiB / 1.953GiB;3.52%;0.24%;153kB / 3.16MB
47.0;b1821c4c1024;quicker;70.31MiB / 1.953GiB;3.52%;0.24%;153kB / 3.16MB
47.5;b1821c4c1024;quicker;70.43MiB / 1.953GiB;3.52%;3.44%;154kB / 3.17MB
48.0;b1821c4c1024;quicker;70.43MiB / 1.953GiB;3.52%;3.44%;154kB / 3.17MB
48.5;b1821c4c1024;quicker;70.47MiB / 1.953GiB;3.52%;3.94%;155kB / 3.17MB
49.0;b1821c4c1024;quicker;70.47MiB / 1.953GiB;3.52%;3.94%;155kB / 3.17MB
49.5;b1821c4c1024;quicker;70.47MiB / 1.953GiB;3.52%;0.22%;155kB / 3.17MB
50.0;b1821c4c1024;quicker;70.47MiB / 1.953GiB;3.52%;0.22%;155kB / 3.17MB
50.5;b1821c4c1024;quicker;70.47MiB / 1.953GiB;3.52%;0.09%;155kB / 3.17MB
51.0;b1821c4c1024;quicker;70.47MiB / 1.953GiB;3.52%;0.09%;155kB / 3.17MB
51.5;b1821c4c1024;quicker;70.47MiB / 1.953GiB;3.52%;0.08%;155kB / 3.17MB
