42.0;4e73d68cb253;quicker;75.72MiB / 1.953GiB;3.79%;0.31%;232kB / 3.26MB
42.5;4e73d68cb253;quicker;75.72MiB / 1.953GiB;3.79%;0.31%;232kB / 3.26MB
43.0;4e73d68cb253;quicker;75.72MiB / 1.953GiB;3.79%;0.68%;233kB / 3.26MB
43.5;4e73d68cb253;quicker;75.72MiB / 1.953GiB;3.79%;0.68%;233kB / 3.26MB
44.0;4e73d68cb253;quicker;75.74MiB / 1.953GiB;3.79%;3.37%;233kB / 3.31MB
44.5;4e73d68cb253;quicker;75.74MiB / 1.953GiB;3.79%;3.37%;233kB / 3.31MB
45.0;4e73d68cb253;quicker;75.74MiB / 1.953GiB;3.79%;0.11%;233kB / 3.31MB
45.5;4e73d68cb253;quicker;75.74MiB / 1.953GiB;3.79%;0.11%;233kB / 3.31MB
46.0;4e73d68cb253;quicker;75.74MiB / 1.953GiB;3.79%;0.22%;233kB / 3.31MB
46.5;4e73d68cb253;quicker;75.74MiB / 1.953GiB;3.79%;0.22%;233kB / 3.31MB
47.0;4e73d68cb253;quicker;75.74MiB / 1.953GiB;3.79%;0.03%;233kB / 3.31MB
47.5;4e73d68cb253;quicker;75.74MiB / 1.953GiB;3.79%;0.03%;233kB / 3.31MB
48.0;4e73d68cb253;quicker;75.81MiB / 1.953GiB;3.79%;11.26%;235kB / 3.48MB
48.5;4e73d68cb253;quicker;75.81MiB / 1.953GiB;3.79%;11.26%;235kB / 3.48MB
49.0;4e73d68cb253;quicker;75.81MiB / 1.953GiB;3.79%;0.06%;235kB / 3.48MB
49.5;4e73d68cb253;quicker;75.81MiB / 1.953GiB;3.79%;0.06%;235kB / 3.48MB
50.0;4e73d68cb253;quicker;75.94MiB / 1.953GiB;3.80%;0.07%;235kB / 3.48MB
50.5;4e73d68cb253;quicker;75.94MiB / 1.953GiB;3.80%;0.07%;235kB / 3.48MB
51.0;4e73d68cb253;quicker;75.82MiB / 1.953GiB;3.79%;2.50%;235kB / 3.5MB
51.5;4e73d68cb253;quicker;75.82MiB / 1.953GiB;3.79%;2.50%;235kB / 3.5MB
52.0;4e73d68cb253;quicker;75.94MiB / 1.953GiB;3.80%;0.83%;235kB / 3.5MB
52.5;4e73d68cb253;quicker;75.94MiB / 1.953GiB;3.80%;0.83%;235kB / 3.5MB
53.0;4e73d68cb253;quicker;75.83MiB / 1.953GiB;3.79%;0.13%;235kB / 3.5MB
53.5;4e73d68cb253;quicker;75.83MiB / 1.953GiB;3.79%;0.13%;235kB / 3.5MB
