53.5;1c5e3691a30b;quicker;144MiB / 1.953GiB;7.20%;2.83%;1.55MB / 5.28MB
54.0;1c5e3691a30b;quicker;144MiB / 1.953GiB;7.20%;1.78%;1.55MB / 5.28MB
54.5;1c5e3691a30b;quicker;144MiB / 1.953GiB;7.20%;1.78%;1.55MB / 5.28MB
55.0;1c5e3691a30b;quicker;144MiB / 1.953GiB;7.20%;1.50%;1.55MB / 5.28MB
55.5;1c5e3691a30b;quicker;144MiB / 1.953GiB;7.20%;1.50%;1.55MB / 5.28MB
56.0;1c5e3691a30b;quicker;144MiB / 1.953GiB;7.20%;5.50%;1.56MB / 5.35MB
56.5;1c5e3691a30b;quicker;144MiB / 1.953GiB;7.20%;5.50%;1.56MB / 5.35MB
57.0;1c5e3691a30b;quicker;144.1MiB / 1.953GiB;7.20%;6.07%;1.56MB / 5.44MB
57.5;1c5e3691a30b;quicker;144.1MiB / 1.953GiB;7.20%;6.07%;1.56MB / 5.44MB
58.0;1c5e3691a30b;quicker;144.3MiB / 1.953GiB;7.21%;17.30%;1.56MB / 5.69MB
58.5;1c5e3691a30b;quicker;144.3MiB / 1.953GiB;7.21%;17.30%;1.56MB / 5.69MB
59.0;1c5e3691a30b;quicker;144.4MiB / 1.953GiB;7.22%;3.53%;1.56MB / 5.72MB
59.5;1c5e3691a30b;quicker;144.4MiB / 1.953GiB;7.22%;3.53%;1.56MB / 5.72MB
60.0;1c5e3691a30b;quicker;144.2MiB / 1.953GiB;7.21%;0.18%;1.56MB / 5.72MB
60.5;1c5e3691a30b;quicker;144.2MiB / 1.953GiB;7.21%;0.18%;1.56MB / 5.72MB
61.0;1c5e3691a30b;quicker;144.4MiB / 1.953GiB;7.22%;4.31%;1.56MB / 5.78MB
61.5;1c5e3691a30b;quicker;144.4MiB / 1.953GiB;7.22%;4.31%;1.56MB / 5.78MB
62.0;1c5e3691a30b;quicker;144.4MiB / 1.953GiB;7.22%;4.06%;1.56MB / 5.84MB
62.5;1c5e3691a30b;quicker;144.4MiB / 1.953GiB;7.22%;4.06%;1.56MB / 5.84MB
63.0;1c5e3691a30b;quicker;144.5MiB / 1.953GiB;7.23%;11.27%;1.56MB / 5.99MB
63.5;1c5e3691a30b;quicker;144.5MiB / 1.953GiB;7.23%;11.27%;1.56MB / 5.99MB
64.0;1c5e3691a30b;quicker;144.5MiB / 1.953GiB;7.23%;16.97%;1.56MB / 6.3MB
64.5;1c5e3691a30b;quicker;144.5MiB / 1.953GiB;7.23%;16.97%;1.56MB / 6.3MB
65.0;1c5e3691a30b;quicker;144.6MiB / 1.953GiB;7.23%;1.72%;1.56MB / 6.3MB
65.5;1c5e3691a30b;quicker;144.6MiB / 1.953GiB;7.23%;1.72%;1.56MB / 6.3MB
66.0;1c5e3691a30b;quicker;144.7MiB / 1.953GiB;7.23%;5.47%;1.56MB / 6.35MB
66.5;1c5e3691a30b;quicker;144.7MiB / 1.953GiB;7.23%;5.47%;1.56MB / 6.35MB
67.0;1c5e3691a30b;quicker;144.6MiB / 1.953GiB;7.23%;10.27%;1.57MB / 6.51MB
67.5;1c5e3691a30b;quicker;144.6MiB / 1.953GiB;7.23%;10.27%;1.57MB / 6.51MB
68.0;1c5e3691a30b;quicker;144.7MiB / 1.953GiB;7.23%;1.63%;1.57MB / 6.51MB
68.5;1c5e3691a30b;quicker;144.7MiB / 1.953GiB;7.23%;1.63%;1.57MB / 6.51MB
69.0;1c5e3691a30b;quicker;144.7MiB / 1.953GiB;7.24%;2.45%;1.57MB / 6.51MB
69.5;1c5e3691a30b;quicker;144.7MiB / 1.953GiB;7.24%;2.45%;1.57MB / 6.51MB
70.0;1c5e3691a30b;quicker;144.9MiB / 1.953GiB;7.24%;1.89%;1.57MB / 6.51MB
70.5;1c5e3691a30b;quicker;144.9MiB / 1.953GiB;7.24%;1.89%;1.57MB / 6.51MB
71.0;1c5e3691a30b;quicker;145MiB / 1.953GiB;7.25%;11.60%;1.57MB / 6.68MB
71.5;1c5e3691a30b;quicker;145MiB / 1.953GiB;7.25%;11.60%;1.57MB / 6.68MB
72.0;1c5e3691a30b;quicker;145.1MiB / 1.953GiB;7.25%;3.55%;1.57MB / 6.74MB
72.5;1c5e3691a30b;quicker;145.1MiB / 1.953GiB;7.25%;3.55%;1.57MB / 6.74MB
73.0;1c5e3691a30b;quicker;145MiB / 1.953GiB;7.25%;6.34%;1.57MB / 6.85MB
73.5;1c5e3691a30b;quicker;145MiB / 1.953GiB;7.25%;6.34%;1.57MB / 6.85MB
74.0;1c5e3691a30b;quicker;145.1MiB / 1.953GiB;7.26%;1.55%;1.57MB / 6.85MB
74.5;1c5e3691a30b;quicker;145.1MiB / 1.953GiB;7.26%;1.55%;1.57MB / 6.85MB
75.0;1c5e3691a30b;quicker;145.1MiB / 1.953GiB;7.26%;3.39%;1.57MB / 6.9MB
75.5;1c5e3691a30b;quicker;145.1MiB / 1.953GiB;7.26%;3.39%;1.57MB / 6.9MB
76.0;1c5e3691a30b;quicker;145.1MiB / 1.953GiB;7.26%;10.65%;1.57MB / 7.09MB
76.5;1c5e3691a30b;quicker;145.1MiB / 1.953GiB;7.26%;10.65%;1.57MB / 7.09MB
77.0;1c5e3691a30b;quicker;145.2MiB / 1.953GiB;7.26%;7.75%;1.57MB / 7.2MB
77.5;1c5e3691a30b;quicker;145.2MiB / 1.953GiB;7.26%;7.75%;1.57MB / 7.2MB
78.0;1c5e3691a30b;quicker;145.2MiB / 1.953GiB;7.26%;0.27%;1.57MB / 7.2MB
78.5;1c5e3691a30b;quicker;145.2MiB / 1.953GiB;7.26%;0.27%;1.57MB / 7.2MB
79.0;1c5e3691a30b;quicker;145.4MiB / 1.953GiB;7.27%;10.07%;1.57MB / 7.4MB
79.5;1c5e3691a30b;quicker;145.4MiB / 1.953GiB;7.27%;10.07%;1.57MB / 7.4MB
80.0;1c5e3691a30b;quicker;145.4MiB / 1.953GiB;7.27%;0.11%;1.57MB / 7.4MB
80.5;1c5e3691a30b;quicker;145.4MiB / 1.953GiB;7.27%;0.11%;1.57MB / 7.4MB
81.0;1c5e3691a30b;quicker;145.6MiB / 1.953GiB;7.28%;14.49%;1.57MB / 7.64MB
81.5;1c5e3691a30b;quicker;145.6MiB / 1.953GiB;7.28%;14.49%;1.57MB / 7.64MB
82.0;1c5e3691a30b;quicker;145.7MiB / 1.953GiB;7.29%;6.43%;1.57MB / 7.76MB
82.5;1c5e3691a30b;quicker;145.7MiB / 1.953GiB;7.29%;6.43%;1.57MB / 7.76MB
83.0;1c5e3691a30b;quicker;145.7MiB / 1.953GiB;7.29%;3.22%;1.57MB / 7.81MB
83.5;1c5e3691a30b;quicker;145.7MiB / 1.953GiB;7.29%;3.22%;1.57MB / 7.81MB
84.0;1c5e3691a30b;quicker;145.9MiB / 1.953GiB;7.29%;4.72%;1.57MB / 7.86MB
84.5;1c5e3691a30b;quicker;145.9MiB / 1.953GiB;7.29%;4.72%;1.57MB / 7.86MB
85.0;1c5e3691a30b;quicker;145.8MiB / 1.953GiB;7.29%;2.86%;1.57MB / 7.9MB
85.5;1c5e3691a30b;quicker;145.8MiB / 1.953GiB;7.29%;2.86%;1.57MB / 7.9MB
86.0;1c5e3691a30b;quicker;145.8MiB / 1.953GiB;7.29%;0.39%;1.57MB / 7.9MB
86.5;1c5e3691a30b;quicker;145.8MiB / 1.953GiB;7.29%;0.39%;1.57MB / 7.9MB
87.0;1c5e3691a30b;quicker;145.8MiB / 1.953GiB;7.29%;0.16%;1.57MB / 7.9MB
87.5;1c5e3691a30b;quicker;145.8MiB / 1.953GiB;7.29%;0.16%;1.57MB / 7.9MB
88.0;1c5e3691a30b;quicker;145.8MiB / 1.953GiB;7.29%;0.29%;1.57MB / 7.9MB
88.5;1c5e3691a30b;quicker;145.8MiB / 1.953GiB;7.29%;0.29%;1.57MB / 7.9MB
89.0;1c5e3691a30b;quicker;146MiB / 1.953GiB;7.30%;3.27%;1.57MB / 7.93MB
89.5;1c5e3691a30b;quicker;146MiB / 1.953GiB;7.30%;3.27%;1.57MB / 7.93MB
90.0;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.31%;7.89%;1.57MB / 8.04MB
90.5;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.31%;7.89%;1.57MB / 8.04MB
91.0;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.31%;3.35%;1.57MB / 8.07MB
91.5;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.31%;3.35%;1.57MB / 8.07MB
92.0;1c5e3691a30b;quicker;146MiB / 1.953GiB;7.30%;0.29%;1.57MB / 8.07MB
92.5;1c5e3691a30b;quicker;146MiB / 1.953GiB;7.30%;0.29%;1.57MB / 8.07MB
93.0;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.31%;2.54%;1.57MB / 8.1MB
93.5;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.31%;2.54%;1.57MB / 8.1MB
94.0;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.31%;2.89%;1.57MB / 8.13MB
94.5;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.31%;2.89%;1.57MB / 8.13MB
95.0;1c5e3691a30b;quicker;146MiB / 1.953GiB;7.30%;1.29%;1.57MB / 8.14MB
95.5;1c5e3691a30b;quicker;146MiB / 1.953GiB;7.30%;1.29%;1.57MB / 8.14MB
96.0;1c5e3691a30b;quicker;146MiB / 1.953GiB;7.30%;0.37%;1.57MB / 8.14MB
96.5;1c5e3691a30b;quicker;146MiB / 1.953GiB;7.30%;0.37%;1.57MB / 8.14MB
97.0;1c5e3691a30b;quicker;146.2MiB / 1.953GiB;7.31%;0.74%;1.57MB / 8.14MB
97.5;1c5e3691a30b;quicker;146.2MiB / 1.953GiB;7.31%;0.74%;1.57MB / 8.14MB
98.0;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.30%;2.41%;1.58MB / 8.14MB
98.5;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.30%;2.41%;1.58MB / 8.14MB
99.0;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.30%;0.26%;1.58MB / 8.14MB
99.5;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.30%;0.26%;1.58MB / 8.14MB
100.0;1c5e3691a30b;quicker;146.1MiB / 1.953GiB;7.30%;0.18%;1.58MB / 8.14MB
