54.0;2aae7792fbd9;quicker;101.8MiB / 1.953GiB;5.09%;3.85%;504kB / 4.56MB
54.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.77%;505kB / 4.56MB
55.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.77%;505kB / 4.56MB
55.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.28%;505kB / 4.56MB
56.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.28%;505kB / 4.56MB
56.5;2aae7792fbd9;quicker;101.8MiB / 1.953GiB;5.09%;1.70%;505kB / 4.57MB
57.0;2aae7792fbd9;quicker;101.8MiB / 1.953GiB;5.09%;1.70%;505kB / 4.57MB
57.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;1.45%;506kB / 4.57MB
58.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;1.45%;506kB / 4.57MB
58.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.16%;506kB / 4.57MB
59.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.16%;506kB / 4.57MB
59.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.06%;506kB / 4.57MB
60.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.06%;506kB / 4.57MB
60.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.10%;506kB / 4.57MB
61.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.10%;506kB / 4.57MB
61.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.23%;506kB / 4.57MB
62.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.23%;506kB / 4.57MB
62.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.34%;506kB / 4.57MB
63.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.34%;506kB / 4.57MB
63.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.25%;506kB / 4.57MB
64.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.25%;506kB / 4.57MB
64.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.15%;506kB / 4.57MB
65.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.15%;506kB / 4.57MB
65.5;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.10%;506kB / 4.57MB
66.0;2aae7792fbd9;quicker;101.7MiB / 1.953GiB;5.08%;0.10%;506kB / 4.57MB
