65.0;0c07319e19dd;quicker;60.42MiB / 1.953GiB;3.02%;0.39%;459kB / 7.16MB
65.5;0c07319e19dd;quicker;60.42MiB / 1.953GiB;3.02%;0.04%;459kB / 7.16MB
66.0;0c07319e19dd;quicker;60.42MiB / 1.953GiB;3.02%;0.04%;459kB / 7.16MB
66.5;0c07319e19dd;quicker;60.54MiB / 1.953GiB;3.03%;0.08%;459kB / 7.16MB
67.0;0c07319e19dd;quicker;60.54MiB / 1.953GiB;3.03%;0.08%;459kB / 7.16MB
67.5;0c07319e19dd;quicker;60.54MiB / 1.953GiB;3.03%;0.06%;459kB / 7.16MB
68.0;0c07319e19dd;quicker;60.54MiB / 1.953GiB;3.03%;0.06%;459kB / 7.16MB
68.5;0c07319e19dd;quicker;60.52MiB / 1.953GiB;3.03%;0.06%;459kB / 7.16MB
69.0;0c07319e19dd;quicker;60.52MiB / 1.953GiB;3.03%;0.06%;459kB / 7.16MB
69.5;0c07319e19dd;quicker;60.66MiB / 1.953GiB;3.03%;0.07%;459kB / 7.16MB
70.0;0c07319e19dd;quicker;60.66MiB / 1.953GiB;3.03%;0.07%;459kB / 7.16MB
70.5;0c07319e19dd;quicker;60.66MiB / 1.953GiB;3.03%;0.31%;459kB / 7.16MB
71.0;0c07319e19dd;quicker;60.66MiB / 1.953GiB;3.03%;0.31%;459kB / 7.16MB
71.5;0c07319e19dd;quicker;60.77MiB / 1.953GiB;3.04%;0.22%;459kB / 7.16MB
72.0;0c07319e19dd;quicker;60.77MiB / 1.953GiB;3.04%;0.22%;459kB / 7.16MB
72.5;0c07319e19dd;quicker;60.77MiB / 1.953GiB;3.04%;0.02%;459kB / 7.16MB
73.0;0c07319e19dd;quicker;60.77MiB / 1.953GiB;3.04%;0.02%;459kB / 7.16MB
73.5;0c07319e19dd;quicker;60.67MiB / 1.953GiB;3.03%;0.04%;459kB / 7.16MB
74.0;0c07319e19dd;quicker;60.67MiB / 1.953GiB;3.03%;0.04%;459kB / 7.16MB
74.5;0c07319e19dd;quicker;60.67MiB / 1.953GiB;3.03%;0.00%;459kB / 7.16MB
75.0;0c07319e19dd;quicker;60.67MiB / 1.953GiB;3.03%;0.00%;459kB / 7.16MB
75.5;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;0.03%;459kB / 7.16MB
76.0;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;0.03%;459kB / 7.16MB
76.5;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;0.02%;459kB / 7.16MB
77.0;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;0.02%;459kB / 7.16MB
77.5;0c07319e19dd;quicker;60.69MiB / 1.953GiB;3.03%;0.04%;459kB / 7.16MB
78.0;0c07319e19dd;quicker;60.69MiB / 1.953GiB;3.03%;0.04%;459kB / 7.16MB
78.5;0c07319e19dd;quicker;60.81MiB / 1.953GiB;3.04%;0.08%;459kB / 7.16MB
79.0;0c07319e19dd;quicker;60.81MiB / 1.953GiB;3.04%;0.08%;459kB / 7.16MB
79.5;0c07319e19dd;quicker;60.86MiB / 1.953GiB;3.04%;0.18%;459kB / 7.16MB
80.0;0c07319e19dd;quicker;60.86MiB / 1.953GiB;3.04%;0.18%;459kB / 7.16MB
80.5;0c07319e19dd;quicker;60.74MiB / 1.953GiB;3.04%;0.00%;459kB / 7.16MB
