82.0;7a1138345e37;quicker;43.67MiB / 1.953GiB;2.18%;0.02%;290kB / 3.07MB
82.5;7a1138345e37;quicker;43.67MiB / 1.953GiB;2.18%;0.07%;290kB / 3.07MB
83.0;7a1138345e37;quicker;43.67MiB / 1.953GiB;2.18%;0.07%;290kB / 3.07MB
83.5;7a1138345e37;quicker;43.67MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
84.0;7a1138345e37;quicker;43.67MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
84.5;7a1138345e37;quicker;43.56MiB / 1.953GiB;2.18%;0.02%;290kB / 3.07MB
85.0;7a1138345e37;quicker;43.56MiB / 1.953GiB;2.18%;0.02%;290kB / 3.07MB
85.5;7a1138345e37;quicker;43.69MiB / 1.953GiB;2.18%;0.06%;290kB / 3.07MB
86.0;7a1138345e37;quicker;43.69MiB / 1.953GiB;2.18%;0.06%;290kB / 3.07MB
86.5;7a1138345e37;quicker;43.69MiB / 1.953GiB;2.18%;0.04%;290kB / 3.07MB
87.0;7a1138345e37;quicker;43.69MiB / 1.953GiB;2.18%;0.04%;290kB / 3.07MB
87.5;7a1138345e37;quicker;43.69MiB / 1.953GiB;2.18%;0.02%;290kB / 3.07MB
88.0;7a1138345e37;quicker;43.69MiB / 1.953GiB;2.18%;0.02%;290kB / 3.07MB
88.5;7a1138345e37;quicker;43.71MiB / 1.953GiB;2.19%;0.16%;290kB / 3.07MB
89.0;7a1138345e37;quicker;43.71MiB / 1.953GiB;2.19%;0.16%;290kB / 3.07MB
89.5;7a1138345e37;quicker;43.71MiB / 1.953GiB;2.19%;0.00%;290kB / 3.07MB
90.0;7a1138345e37;quicker;43.71MiB / 1.953GiB;2.19%;0.00%;290kB / 3.07MB
90.5;7a1138345e37;quicker;43.71MiB / 1.953GiB;2.19%;0.00%;290kB / 3.07MB
91.0;7a1138345e37;quicker;43.71MiB / 1.953GiB;2.19%;0.00%;290kB / 3.07MB
91.5;7a1138345e37;quicker;43.61MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
92.0;7a1138345e37;quicker;43.61MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
92.5;7a1138345e37;quicker;43.61MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
