42.0;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.27%;237kB / 5.45MB
42.5;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.98%;238kB / 5.45MB
43.0;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.98%;238kB / 5.45MB
43.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.57%;239kB / 5.45MB
44.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.57%;239kB / 5.45MB
44.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.17%;239kB / 5.45MB
45.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.17%;239kB / 5.45MB
45.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
46.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
46.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.03%;239kB / 5.45MB
47.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.03%;239kB / 5.45MB
47.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.06%;239kB / 5.45MB
48.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.06%;239kB / 5.45MB
48.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
49.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
49.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.01%;239kB / 5.45MB
50.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.01%;239kB / 5.45MB
50.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
51.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
51.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
52.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
52.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
53.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
53.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.07%;239kB / 5.45MB
54.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.07%;239kB / 5.45MB
54.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
55.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
55.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.05%;239kB / 5.45MB
56.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.05%;239kB / 5.45MB
56.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.07%;239kB / 5.45MB
57.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.07%;239kB / 5.45MB
57.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.18%;239kB / 5.45MB
58.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.18%;239kB / 5.45MB
58.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.25%;239kB / 5.45MB
59.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.25%;239kB / 5.45MB
59.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.06%;239kB / 5.45MB
60.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.06%;239kB / 5.45MB
60.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
61.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
61.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.03%;239kB / 5.45MB
62.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.03%;239kB / 5.45MB
62.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.04%;239kB / 5.45MB
63.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.04%;239kB / 5.45MB
63.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.05%;239kB / 5.45MB
64.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.05%;239kB / 5.45MB
64.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.25%;239kB / 5.45MB
65.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.25%;239kB / 5.45MB
65.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.05%;239kB / 5.45MB
66.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.05%;239kB / 5.45MB
66.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
67.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.00%;239kB / 5.45MB
67.5;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.03%;239kB / 5.45MB
68.0;9dd8c75a2191;quicker;81.19MiB / 1.953GiB;4.06%;0.03%;239kB / 5.45MB
