49.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.36%;1.11MB / 6.4MB
50.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.36%;1.11MB / 6.4MB
50.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.00%;1.11MB / 6.4MB
51.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.00%;1.11MB / 6.4MB
51.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.06%;1.11MB / 6.4MB
52.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.06%;1.11MB / 6.4MB
52.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.06%;1.11MB / 6.4MB
53.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.06%;1.11MB / 6.4MB
53.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.27%;1.11MB / 6.4MB
54.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.27%;1.11MB / 6.4MB
54.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.07%;1.11MB / 6.4MB
55.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.07%;1.11MB / 6.4MB
55.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.15%;1.11MB / 6.4MB
56.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.15%;1.11MB / 6.4MB
56.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.17%;1.11MB / 6.4MB
57.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.17%;1.11MB / 6.4MB
57.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.48%;1.11MB / 6.4MB
58.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.48%;1.11MB / 6.4MB
58.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.68%;1.11MB / 6.4MB
59.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.68%;1.11MB / 6.4MB
59.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.37%;1.11MB / 6.4MB
60.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.37%;1.11MB / 6.4MB
