63.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.13%;1.47MB / 8.13MB
64.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.06%;1.47MB / 8.13MB
64.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.06%;1.47MB / 8.13MB
65.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.11%;1.47MB / 8.13MB
65.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.11%;1.47MB / 8.13MB
66.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.60%;1.47MB / 8.13MB
66.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.60%;1.47MB / 8.13MB
67.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.48%;1.47MB / 8.13MB
67.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.48%;1.47MB / 8.13MB
68.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.53%;1.47MB / 8.13MB
68.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.53%;1.47MB / 8.13MB
69.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.26%;1.47MB / 8.13MB
69.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.26%;1.47MB / 8.13MB
70.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.21%;1.47MB / 8.13MB
70.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.21%;1.47MB / 8.13MB
71.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.41%;1.47MB / 8.13MB
71.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.41%;1.47MB / 8.13MB
72.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.14%;1.47MB / 8.13MB
72.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.14%;1.47MB / 8.13MB
73.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.29%;1.47MB / 8.13MB
73.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.29%;1.47MB / 8.13MB
