45.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.19%;850kB / 3.43MB
45.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.19%;850kB / 3.43MB
46.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.03%;850kB / 3.43MB
46.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.03%;850kB / 3.43MB
47.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.44%;851kB / 3.43MB
47.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.44%;851kB / 3.43MB
48.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.15%;851kB / 3.43MB
48.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.15%;851kB / 3.43MB
49.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.07%;851kB / 3.43MB
49.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.07%;851kB / 3.43MB
50.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.04%;851kB / 3.43MB
50.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.04%;851kB / 3.43MB
51.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.04%;851kB / 3.43MB
51.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.04%;851kB / 3.43MB
52.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.07%;851kB / 3.43MB
52.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.07%;851kB / 3.43MB
53.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.12%;851kB / 3.43MB
53.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.12%;851kB / 3.43MB
54.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.08%;851kB / 3.43MB
54.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.08%;851kB / 3.43MB
55.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.02%;851kB / 3.43MB
55.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.02%;851kB / 3.43MB
56.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.53%;851kB / 3.43MB
56.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.53%;851kB / 3.43MB
57.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;0.63%;851kB / 3.43MB
