50.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.01%;652kB / 2.59MB
51.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.01%;652kB / 2.59MB
51.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.07%;652kB / 2.59MB
52.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.07%;652kB / 2.59MB
52.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.27%;652kB / 2.59MB
53.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.27%;652kB / 2.59MB
53.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.09%;652kB / 2.59MB
54.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.09%;652kB / 2.59MB
54.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.10%;652kB / 2.59MB
55.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.10%;652kB / 2.59MB
55.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.75%;652kB / 2.59MB
56.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.75%;652kB / 2.59MB
56.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.27%;652kB / 2.59MB
57.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.27%;652kB / 2.59MB
57.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.32%;652kB / 2.59MB
58.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.32%;652kB / 2.59MB
58.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.23%;652kB / 2.59MB
59.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.23%;652kB / 2.59MB
59.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.05%;652kB / 2.59MB
