43.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.67%;964kB / 6.32MB
44.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.67%;964kB / 6.32MB
44.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.67%;964kB / 6.32MB
45.0;eb94d920a118;quicker;121.1MiB / 1.953GiB;6.05%;0.61%;965kB / 6.32MB
45.5;eb94d920a118;quicker;121.1MiB / 1.953GiB;6.05%;0.61%;965kB / 6.32MB
46.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.31%;966kB / 6.32MB
46.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.31%;966kB / 6.32MB
47.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.34%;967kB / 6.32MB
47.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.34%;967kB / 6.32MB
48.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.12%;967kB / 6.32MB
48.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.12%;967kB / 6.32MB
49.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.47%;967kB / 6.32MB
49.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.47%;967kB / 6.32MB
50.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.07%;967kB / 6.32MB
50.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.07%;967kB / 6.32MB
51.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.05%;967kB / 6.32MB
51.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.05%;967kB / 6.32MB
52.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.00%;967kB / 6.32MB
52.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.00%;967kB / 6.32MB
53.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.32%;967kB / 6.32MB
53.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;0.32%;967kB / 6.32MB
