52.0;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.03%;1.25MB / 5.85MB
52.5;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.03%;1.25MB / 5.85MB
53.0;7c7fdd75f1e5;quicker;127.6MiB / 1.953GiB;6.38%;1.02%;1.25MB / 5.85MB
53.5;7c7fdd75f1e5;quicker;127.6MiB / 1.953GiB;6.38%;1.02%;1.25MB / 5.85MB
54.0;7c7fdd75f1e5;quicker;127.6MiB / 1.953GiB;6.38%;0.29%;1.25MB / 5.85MB
54.5;7c7fdd75f1e5;quicker;127.6MiB / 1.953GiB;6.38%;0.29%;1.25MB / 5.85MB
55.0;7c7fdd75f1e5;quicker;127.6MiB / 1.953GiB;6.38%;0.04%;1.25MB / 5.85MB
55.5;7c7fdd75f1e5;quicker;127.6MiB / 1.953GiB;6.38%;0.04%;1.25MB / 5.85MB
56.0;7c7fdd75f1e5;quicker;127.6MiB / 1.953GiB;6.38%;0.07%;1.25MB / 5.85MB
56.5;7c7fdd75f1e5;quicker;127.6MiB / 1.953GiB;6.38%;0.07%;1.25MB / 5.85MB
57.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;3.63%;1.25MB / 5.85MB
57.5;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;3.63%;1.25MB / 5.85MB
58.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;1.39%;1.26MB / 5.85MB
58.5;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;1.39%;1.26MB / 5.85MB
59.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.99%;1.26MB / 5.85MB
59.5;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.99%;1.26MB / 5.85MB
60.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.84%;1.26MB / 5.85MB
60.5;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.84%;1.26MB / 5.85MB
61.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.53%;1.26MB / 5.85MB
61.5;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.53%;1.26MB / 5.85MB
62.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.09%;1.26MB / 5.85MB
62.5;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.09%;1.26MB / 5.85MB
63.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.02%;1.26MB / 5.85MB
63.5;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.02%;1.26MB / 5.85MB
64.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.26%;1.26MB / 5.85MB
64.5;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.26%;1.26MB / 5.85MB
65.0;7c7fdd75f1e5;quicker;128.4MiB / 1.953GiB;6.42%;0.64%;1.26MB / 5.85MB
