37.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.22%;917kB / 5.77MB
38.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.22%;917kB / 5.77MB
38.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.21%;918kB / 5.77MB
39.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.21%;918kB / 5.77MB
39.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.70%;919kB / 5.77MB
40.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.70%;919kB / 5.77MB
40.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.22%;919kB / 5.77MB
41.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.22%;919kB / 5.77MB
41.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.52%;921kB / 5.77MB
42.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.52%;921kB / 5.77MB
42.5;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;3.38%;924kB / 5.77MB
43.0;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;3.38%;924kB / 5.77MB
43.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;5.22%;927kB / 5.77MB
44.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;5.22%;927kB / 5.77MB
44.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.00%;927kB / 5.77MB
45.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.00%;927kB / 5.77MB
45.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.35%;928kB / 5.77MB
46.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.35%;928kB / 5.77MB
46.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.40%;928kB / 5.77MB
47.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.40%;928kB / 5.77MB
47.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.90%;929kB / 5.77MB
48.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.90%;929kB / 5.77MB
48.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.25%;929kB / 5.77MB
49.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.25%;929kB / 5.77MB
49.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.82%;930kB / 5.77MB
50.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.82%;930kB / 5.77MB
50.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.29%;930kB / 5.77MB
51.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.29%;930kB / 5.77MB
51.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.13%;930kB / 5.77MB
52.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.13%;930kB / 5.77MB
52.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.06%;930kB / 5.77MB
53.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.06%;930kB / 5.77MB
53.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.16%;930kB / 5.77MB
54.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.16%;930kB / 5.77MB
54.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.00%;930kB / 5.77MB
55.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.00%;930kB / 5.77MB
55.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.04%;930kB / 5.77MB
56.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.04%;930kB / 5.77MB
56.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.01%;930kB / 5.77MB
